osmid,y,x,street_count,ref,highway,geometry
246086796,45.533778,-73.6468966,3,,motorway_junction,POINT (-73.6468966 45.533778)
246086835,45.5291296,-73.6503637,3,,motorway_junction,POINT (-73.6503637 45.5291296)
246086844,45.5249133,-73.6526402,3,,,POINT (-73.6526402 45.5249133)
246086872,45.5308564,-73.6490806,3,,,POINT (-73.6490806 45.5308564)
246086878,45.52921,-73.6504632,3,,motorway_junction,POINT (-73.6504632 45.52921)
246086891,45.5319806,-73.6482031,3,,motorway_junction,POINT (-73.6482031 45.5319806)
246093629,45.5428323,-73.6454761,3,,,POINT (-73.6454761 45.5428323)
246093670,45.538374,-73.6439864,3,,,POINT (-73.6439864 45.538374)
246102320,45.5431774,-73.7025152,3,,,POINT (-73.7025152 45.5431774)
246102347,45.5371761,-73.7006113,3,,,POINT (-73.7006113 45.5371761)
246102355,45.5348285,-73.7038618,3,,,POINT (-73.7038618 45.5348285)
246102361,45.5339204,-73.698105,3,4,motorway_junction,POINT (-73.698105 45.5339204)
246102362,45.536129,-73.7008648,3,,motorway_junction,POINT (-73.7008648 45.536129)
246102370,45.5368811,-73.7028589,3,,,POINT (-73.7028589 45.5368811)
246279619,45.5271717,-73.696608,2,,,POINT (-73.696608 45.5271717)
246282092,45.526496,-73.7143363,4,,,POINT (-73.7143363 45.526496)
246282353,45.5287455,-73.6822464,1,,,POINT (-73.6822464 45.5287455)
246282744,45.5355779,-73.6657166,4,,,POINT (-73.6657166 45.5355779)
246282782,45.5314453,-73.666508,3,,,POINT (-73.666508 45.5314453)
246283580,45.5162088,-73.6799229,4,,,POINT (-73.6799229 45.5162088)
246283590,45.5099857,-73.6880037,4,,,POINT (-73.6880037 45.5099857)
246283771,45.5037373,-73.6696828,3,,,POINT (-73.6696828 45.5037373)
246283772,45.5033247,-73.670719,3,,,POINT (-73.670719 45.5033247)
246425479,45.5259416,-73.7148934,3,,,POINT (-73.7148934 45.5259416)
246451744,45.5768637,-73.6384721,3,,,POINT (-73.6384721 45.5768637)
246451758,45.5767721,-73.6385518,4,,,POINT (-73.6385518 45.5767721)
246461041,45.5551766,-73.6221412,3,,,POINT (-73.6221412 45.5551766)
246461047,45.5555083,-73.6168122,3,,crossing,POINT (-73.6168122 45.5555083)
246461050,45.5564858,-73.6162763,4,,,POINT (-73.6162763 45.5564858)
246461058,45.5585615,-73.6125888,4,,,POINT (-73.6125888 45.5585615)
246461170,45.5698784,-73.600483,4,,,POINT (-73.600483 45.5698784)
246461238,45.5553146,-73.6192045,3,,,POINT (-73.6192045 45.5553146)
246461239,45.5556795,-73.6195023,3,,,POINT (-73.6195023 45.5556795)
246461240,45.5556008,-73.6196859,3,,,POINT (-73.6196859 45.5556008)
246461241,45.5552309,-73.6194071,3,,,POINT (-73.6194071 45.5552309)
246461250,45.5712167,-73.6021048,3,,,POINT (-73.6021048 45.5712167)
246650065,45.5742094,-73.5623306,1,,,POINT (-73.5623306 45.5742094)
246650096,45.5843194,-73.52205,1,,,POINT (-73.52205 45.5843194)
246650167,45.5831904,-73.5807069,4,,,POINT (-73.5807069 45.5831904)
246650180,45.582197,-73.5882977,4,,,POINT (-73.5882977 45.582197)
246650181,45.5826204,-73.5895207,4,,,POINT (-73.5895207 45.5826204)
246650208,45.5991829,-73.6118929,4,,,POINT (-73.6118929 45.5991829)
246650242,45.5990814,-73.6119991,4,,,POINT (-73.6119991 45.5990814)
246650253,45.5830672,-73.580672,4,,,POINT (-73.580672 45.5830672)
246650269,45.5816703,-73.5864477,3,,,POINT (-73.5864477 45.5816703)
246650277,45.5825302,-73.5896025,4,,,POINT (-73.5896025 45.5825302)
246650286,45.5821097,-73.5883761,4,,,POINT (-73.5883761 45.5821097)
246653273,45.5865413,-73.5545358,3,,,POINT (-73.5545358 45.5865413)
246653275,45.5828082,-73.543205,4,,,POINT (-73.543205 45.5828082)
246653287,45.5920621,-73.5749619,4,,,POINT (-73.5749619 45.5920621)
246653288,45.5932233,-73.5775883,4,,,POINT (-73.5775883 45.5932233)
246653289,45.5937855,-73.5788772,4,,,POINT (-73.5788772 45.5937855)
246653306,45.6058645,-73.6045065,3,,,POINT (-73.6045065 45.6058645)
246653307,45.6060263,-73.6047726,3,,,POINT (-73.6047726 45.6060263)
246653333,45.5909126,-73.5760794,3,,,POINT (-73.5760794 45.5909126)
246653336,45.597089,-73.5706351,3,,,POINT (-73.5706351 45.597089)
246653554,45.5907551,-73.5256152,4,,,POINT (-73.5256152 45.5907551)
246655685,45.5827727,-73.543052,4,,,POINT (-73.543052 45.5827727)
246656320,45.5877548,-73.5210515,2,,,POINT (-73.5210515 45.5877548)
246657160,45.5864888,-73.5547201,4,,,POINT (-73.5547201 45.5864888)
